5820k
LockLess
|Per ms      JobAdd/    JobFin,     SubAdd/    SubFin|   Locks    Waits    Kicks|Total   JobAdd/  JobFin,   SubAdd/  SubFin| Handles|    WrapTime|
|            335.69/    335.69,    4644.87/   4644.87|    0.00     0.00     0.00|      20470864/20470864, 283249592/283249592|20475863|    14517.28| 60.98s     NumWorkers 3
|            300.40/    300.40,    4158.40/   4158.40|    0.00     0.00     0.00|      18625890/18625890, 257835915/257835915|18607861|    16242.48| 62.00s     NumWorkers 4
|            282.73/    282.73,    3914.74/   3914.74|    0.00     0.00     0.00|      18242006/18242006, 252586732/252586732|18231321|    17251.27| 64.52s     NumWorkers 5
|            272.05/    272.05,    3767.58/   3767.58|    0.00     0.00     0.00|      16377648/16377648, 226811382/226811382|16367445|    17928.89| 60.20s     NumWorkers 6
|            256.26/    256.26,    3549.94/   3549.94|    0.00     0.00     0.00|      15615194/15615194, 216312430/216312430|15614442|    19022.40| 60.93s     NumWorkers 7
|            248.65/    248.65,    3444.94/   3444.94|    0.00     0.00     0.00|      17295184/17295184, 239621696/239621696|17273734|    19628.61| 69.56s     NumWorkers 8
|            242.13/    242.13,    3355.07/   3355.07|    0.00     0.00     0.00|      15383636/15383636, 213164887/213164887|15383275|    20132.46| 63.54s     NumWorkers 9
|            235.58/    235.58,    3264.81/   3264.81|    0.00     0.00     0.00|      12393520/12393520, 171756818/171756818|12388577|    20699.83| 52.61s     NumWorkers 10
|            227.51/    227.51,    3153.59/   3153.59|    0.00     0.00     0.00|      10959334/10959334, 151909979/151909979|10946211|    21451.06| 48.17s     NumWorkers 11
|            218.38/    218.38,    3027.68/   3027.68|    0.00     0.00     0.00|      12380844/12380844, 171652479/171652479|12364944|    22350.10| 56.69s     NumWorkers 12
|            165.62/    165.62,    2300.03/   2300.03|    0.00     0.00     0.00|      10798534/10798534, 149962850/149962850|10786352|    29465.10| 65.20s     NumWorkers 1
|            334.36/    334.36,    4626.51/   4626.51|    0.00     0.00     0.00|      22491244/22491244, 311213597/311213597|22485320|    14582.70| 67.27s     NumWorkers 2
|            318.69/    318.69,    4410.51/   4410.51|    0.00     0.00     0.00|      10818076/10818076, 149718782/149718782|10794205|    15329.53| 33.95s     NumWorkers 3
|            300.43/    300.43,    4158.81/   4158.81|    0.00     0.00     0.00|       9617022/ 9617022, 133127049/133127049| 9613993|    16230.27| 32.01s     NumWorkers 4
|            281.96/    281.96,    3904.20/   3904.20|    0.00     0.00     0.00|       7525258/ 7525258, 104199572/104199572| 7517026|    17306.92| 26.69s     NumWorkers 5
|



Mutex
|Per ms      JobAdd/    JobFin,     SubAdd/    SubFin|   Locks    Waits    Kicks|Total   JobAdd/  JobFin,   SubAdd/  SubFin| Handles|    WrapTime|
|            320.31/    320.31,    4432.85/   4432.85| 4872.10    29.58    29.58|      20325758/20325758, 281290417/281290417|       0|         inf| 63.46s     NumWorkers 3
|            216.69/    216.52,    3004.30/   3004.30| 3373.82    14.90    13.91|      13811176/13800576, 191489120/191489120|       0|         inf| 63.74s     NumWorkers 4
|            189.17/    189.00,    2625.04/   2625.04| 2995.36    14.17    13.02|      11902794/11891941, 165168690/165168690|       0|         inf| 62.92s     NumWorkers 5
|            170.80/    170.59,    2371.81/   2371.81| 2747.13    12.85    11.78|      12311034/12295349, 170952843/170952843|       0|         inf| 72.08s     NumWorkers 6
|            165.12/    164.93,    2293.41/   2293.41| 2671.59    11.29    10.54|      10036370/10024816, 139402639/139402639|       0|         inf| 60.78s     NumWorkers 7
|            155.69/    155.47,    2163.42/   2163.42| 2570.14    11.41    10.54|       9959128/ 9945417, 138392756/138392756|       0|         inf| 63.97s     NumWorkers 8
|            149.68/    149.58,    2080.62/   2080.62| 2486.54    10.27     9.70|      11197810/11190009, 155654339/155654339|       0|         inf| 74.81s     NumWorkers 9
|            144.19/    144.07,    2004.89/   2004.89| 2405.99     9.46     9.10|       9242558/ 9235107, 128516044/128516044|       0|         inf| 64.10s     NumWorkers 10
|            140.34/    140.23,    1951.88/   1951.88| 2364.41     9.39     9.05|       8813450/ 8806265, 122578159/122578159|       0|         inf| 62.80s     NumWorkers 11
|            137.69/    137.58,    1915.36/   1915.36| 2333.76     9.16     8.86|       8330088/ 8323057, 115875171/115875171|       0|         inf| 60.50s     NumWorkers 12
|            136.72/    136.54,    1901.99/   1901.99| 2330.07     9.36     8.97|       8608796/ 8597283, 119760292/119760292|       0|         inf| 62.97s     NumWorkers 1
|            322.40/    322.33,    4461.69/   4461.69| 4902.52    29.78    29.78|      19510950/19506426, 270011340/270011340|       0|         inf| 60.52s     NumWorkers 2
|            270.55/    270.39,    3746.83/   3746.83| 4167.96    22.11    20.60|      18918460/18907636, 262004867/262004867|       0|         inf| 69.93s     NumWorkers 3
|
